prob_threshold,cumm_unique_tp_k-NN,observations_k-NN,cumm_unique_tp_Logistic Regression,observations_Logistic Regression
1.0,18,"881861, 87281702, 86730502, 896839, 84667401, 856106, 877989, 869104, 853201, 8911163, 859283, 91504, 848406, 8912280, 8712729, 84458202, 869691, 8860702",3,"865128, 899667, 915691"
0.95,1,869691,16,"873701, 865128, 908489, 843786, 874217, 926954, 915691, 8810955, 9110127, 899667, 85715, 854268, 879830, 87164, 862717, 875263"
0.9,0,,23,"843786, 87164, 866083, 911916, 8911670, 908489, 8810955, 899667, 85715, 879830, 857438, 855138, 873701, 85638502, 865128, 874217, 926954, 915691, 9110127, 87163, 854268, 862717, 875263"
0.85,2,"874858, 877159",8,"926954, 855563, 9110127, 905680, 895633, 879830, 87163, 855133"
0.8,2,"874858, 877159",10,"888264, 87556202, 855563, 926954, 9110127, 905680, 895633, 879830, 87163, 855133"
0.75,2,"874858, 877159",12,"888264, 87556202, 855563, 926954, 9110127, 905680, 895633, 90291, 91979701, 879830, 87163, 855133"
0.7,3,"8810987, 846381, 913535",10,"888264, 87556202, 855563, 926954, 86135501, 905680, 895633, 90291, 879830, 855133"
0.65,3,"8810987, 846381, 913535",12,"861799, 888264, 87556202, 855563, 926954, 86135501, 905680, 895633, 90291, 862548, 879830, 855133"
0.6,2,"846381, 913535",14,"861799, 888264, 87556202, 855563, 926954, 86135501, 91594602, 905680, 895633, 90291, 886452, 862548, 879830, 855133"
0.55,1,846381,9,"879523, 861799, 91594602, 905680, 895633, 90291, 886452, 862548, 855133"
0.5,0,,9,"879523, 861799, 91594602, 905680, 895633, 90291, 886452, 862548, 855133"
0.45,0,,9,"879523, 861799, 91594602, 905680, 895633, 90291, 886452, 862548, 855133"
0.4,1,881094802,4,"905680, 879523, 886452, 862548"
0.35,1,881094802,4,"905680, 879523, 886452, 862548"
0.3,1,881094802,5,"879523, 905680, 886452, 862548, 889403"
0.25,1,881094802,3,"905680, 886452, 862548"
0.2,1,881094802,4,"905680, 886452, 862548, 859983"
0.15,1,881094802,6,"868202, 859983, 905680, 862548, 886452, 855167"
0.1,2,"881094802, 892189",0,
0.05,2,"881094802, 892189",0,
0.0,0,,0,
